Year,Date,DayOfMonth,Month,ReferenceName
2000,Apr 11,11,4,MANZAIJUNGO-NIKKI(DAIGO)
2000,Apr 07,7,4,MANZAIJUNGO-NIKKI(DAIGO)
2000,Apr 17,17,4,MANZAIJUNGO-NIKKI(DAIGO)
2000,Apr 11,11,4,MANZAIJUNGO-NIKKI(DAIGO)
2000,Apr 13,13,4,MANZAIJUNGO-NIKKI(DAIGO)
2000,Apr 07,7,4,MANZAIJUNGO-NIKKI(DAIGO)
2000,Apr 22,22,4,MANZAIJUNGO-NIKKI(DAIGO)
2000,Apr 04,4,4,KANMON-GYOKI(FUSHIMI)
2000,Apr 10,10,4,KANMON-GYOKI(FUSHIMI)
2000,Apr 12,12,4,KANMON-GYOKI
2000,Apr 08,8,4,INRYOGEN-NICHIROKU
2000,Apr 10,10,4,INRYOGEN-NICHIROKU
2000,Apr 07,7,4,MOROSATOKI
2000,Apr 14,14,4,INRYOGEN-NICHIROKU
2000,Apr 16,16,4,KANMON-GYOKI
2000,Apr 18,18,4,YASUTOMIKI
2000,Apr 17,17,4,GYOUKO-HOIN-NIKKI
2000,Apr 20,20,4,SOKONSHU
2000,Apr 05,5,4,YASUTOMIKI
2000,Apr 04,4,4,ZOKU-HONCHOTSUKAN
2000,Apr 09,9,4,YASUTOMIKI
2000,Apr 12,12,4,YASUTOMIKI
2000,Apr 01,1,4,ZOKU-SHIGUSHO
2000,Apr 16,16,4,SOKONSHU
2000,Apr 14,14,4,SOKONSHU
2000,Apr 05,5,4,GAUN-NIKKENROKU-BATSUYU
2000,Apr 15,15,4,MOROSATOKI
2000,Apr 14,14,4,ZOKU-HONCHOTSUKAN
2000,Apr 21,21,4,INRYOGEN-NICHIROKU
2000,Apr 22,22,4,INRYOGEN-NICHIROKU
2000,Apr 20,20,4,INRYOGEN-NICHIROKU
2000,Apr 15,15,4,INRYOGEN-NICHIROKU
2000,Apr 15,15,4,INRYOGEN-NICHIROKU
2000,Apr 10,10,4,INRYOGEN-NICHIROKU
2000,Apr 13,13,4,INRYOGEN-NICHIROKU
2000,Apr 07,7,4,INRYOGEN-NICHIROKU
2000,Apr 14,14,4,INRYOGEN-NICHIROKU
2000,Apr 10,10,4,EST-from-WF(GOHOKOINKI)
2000,Apr 10,10,4,HEKIZAN-NICHIROKU
2000,Apr 23,23,4,CHIKANAGA-KYOKI
2000,Apr 07,7,4,ENROKUCHOKASHU
2000,Apr 09,9,4,SANETAKA-KOKI
2000,Apr 19,19,4,OYUDONONO-UENO-NIKKI
2000,Apr 24,24,4,SANETAKA-KOKI
2000,Apr 19,19,4,SANETAKA-KOKI
2000,Apr 13,13,4,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 15,15,4,SANETAKA-KOKI
2000,Apr 17,17,4,OYUDONONO-UENO-NIKKI
2000,Apr 10,10,4,OYUDONONO-UENO-NIKKI
2000,Apr 06,6,4,OYUDONONO-UENO-NIKKI
2000,Apr 03,3,4,OYUDONONO-UENO-NIKKI
2000,Apr 08,8,4,OYUDONONO-UENO-NIKKI
2000,Apr 02,2,4,SANETAKA-KOKI
2000,Apr 12,12,4,OYUDONONO-UENO-NIKKI
2000,Apr 09,9,4,(SHIRYO-SHORAN)
2000,Apr 06,6,4,INRYOGEN-NICHIROKU
2000,Apr 16,16,4,SANETAKA-KOKI
2000,Apr 17,17,4,OYUDONONO-UENO-NIKKI
2000,Apr 09,9,4,OYUDONONO-UENO-NIKKI
2000,Apr 15,15,4,OYUDONONO-UENO-NIKKI
2000,Apr 03,3,4,OYUDONONO-UENO-NIKKI
2000,Apr 06,6,4,OYUDONONO-UENO-NIKKI
2000,Apr 17,17,4,CHIKANAGA-KYOKI
2000,Apr 06,6,4,OYUDONONO-UENO-NIKKI
2000,Apr 20,20,4,OYUDONONO-UENO-NIKKI
2000,Apr 06,6,4,OYUDONONO-UENO-NIKKI
2000,Apr 12,12,4,SANETAKA-KOKI
2000,Apr 24,24,4,NOBUTANE-KYOKI
2000,Apr 17,17,4,SANETAKA-KOKI
2000,Apr 23,23,4,SANETAKA-KOKI
2000,Apr 15,15,4,NISUIKI
2000,Apr 15,15,4,MOTONAGA-KYOKI
2000,Apr 17,17,4,MOTONAGA-KYOKI
2000,Apr 20,20,4,SANETAKA-KOKI
2000,Apr 11,11,4,SANETAKA-KOKI
2000,Apr 19,19,4,SANETAKA-KOKI
2000,Apr 20,20,4,SANETAKA-KOKI
2000,Apr 18,18,4,SANETAKA-KOKI
2000,Apr 19,19,4,SANETAKA-KOKI
2000,Apr 14,14,4,MORIMITSU-KOKI
2000,Apr 20,20,4,SAISHOSO
2000,Apr 13,13,4,SAISHOSO
2000,Apr 15,15,4,NISUIKI
2000,Apr 24,24,4,NISUIKI
2000,Apr 20,20,4,NISUIKI
2000,Apr 14,14,4,NISUIKI
2000,Apr 16,16,4,NISUIKI
2000,Apr 12,12,4,NISUIKI
2000,Apr 18,18,4,SANETAKA-KOKI
2000,Apr 18,18,4,SANETAKA-KOKI
2000,Apr 13,13,4,NISUIKI
2000,Apr 22,22,4,NISUIKI
2000,Apr 14,14,4,NISUIKI
2000,Apr 15,15,4,NISUIKI
2000,Apr 16,16,4,SANETAKA-KOKI
2000,Apr 16,16,4,NISUIKI
2000,Apr 12,12,4,NISUIKI
2000,Apr 17,17,4,SANETAKA-KOKI
2000,Apr 20,20,4,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 17,17,4,GONARAIN-GYOSEI-BASSHO
2000,Apr 04,4,4,GONARAIN-SHINNKI
2000,Apr 17,17,4,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 17,17,4,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 21,21,4,NINAGAWA-CHIKATOSHI-NIKKI
2000,Apr 29,29,4,OYUDONONO-UENO-NIKKI [EDA]
2000,May 01,1,5,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 18,18,4,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 11,11,4,TOKITSUGU-KYOKI
2000,Apr 28,28,4,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 16,16,4,TOKITSUGU-KYOKI
2000,Apr 06,6,4,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 21,21,4,TOKITSUGU-KYOKI
2000,Apr 13,13,4,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 27,27,4,TOKITSUGU-KYOKI
2000,Apr 26,26,4,(SHIRYO-SORAN)
2000,Apr 20,20,4,TOKITSUGU-KYOKI
2000,Apr 18,18,4,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 13,13,4,TOKITSUGU-KYOKI
2000,Apr 28,28,4,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 10,10,4,OYUDONONO-UENO-NIKKI
2000,Apr 29,29,4,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 02,2,4,TOKITSUGU-KYOKI
2000,Apr 20,20,4,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 05,5,4,OYUDONONO-UENO-NIKKI
2000,Apr 09,9,4,DAINIHON-SHIRYO
2000,Apr 11,11,4,OYUDONONO-UENO-NIKKI
2000,Apr 08,8,4,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 08,8,4,(SHIRYO-SORAN)
2000,Apr 18,18,4,OYUDONONO-UENO-NIKKI
2000,Apr 23,23,4,(SHIRYO-SORAN)
2000,Apr 06,6,4,(SHIRYO-SORAN)
2000,Apr 17,17,4,OYUDONONO-UENO-NIKKI
2000,Apr 15,15,4,ATOKAGAMI
2000,Apr 21,21,4,TOKITSUGU-KYOKI
2000,Apr 17,17,4,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 16,16,4,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 07,7,4,EST-from-WF(MASAATSUKYO-EISO)
2000,Apr 18,18,4,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 09,9,4,SHINCHO-KOKI
2000,Apr 11,11,4,DAINIHON-SHIRYO
2000,Apr 06,6,4,DAINIHON-SHIRYO
2000,Apr 14,14,4,OYUDONONO-UENO-NIKKI [EDA]
2000,Apr 17,17,4,OYUDONONO-UENO-NIKKI
2000,Apr 15,15,4,SHUNKYUKI(DAIGO)
2000,Apr 14,14,4,UNONOMONDOKI
2000,Apr 15,15,4,OYUDONONO-UENO-NIKKI
2000,Apr 14,14,4,OYUDONONO-UENO-NIKKI
2000,Apr 14,14,4,OYUDONONO-UENO-NIKKI
2000,Apr 11,11,4,(SHIRYO-SORAN)
2000,Apr 03,3,4,HARETOYOKI
2000,Apr 07,7,4,TOKITSUNE-KYOKI
2000,Apr 22,22,4,TOKITSUNE-KYOKI(DAIGO)
2000,Apr 02,2,4,(DAINIHON-SHIRYO(FUSHIMI))
2000,Apr 20,20,4,OYUDONONO-UENO-NIKKI
2000,Apr 13,13,4,GIENJUNKO-NIKKI(DAIGO)
2000,Apr 23,23,4,GIENJUNKO-NIKKI(DAIGO)
2000,Apr 19,19,4,GIENJUNKO-NIKKI(DAIGO)
2000,Apr 12,12,4,GIENJUNKO-NIKKI(DAIGO)
2000,Apr 10,10,4,GIENJUNKO-NIKKI(DAIGO)
2000,Apr 02,2,4,GIENJUNKO-NIKKI(DAIGO)
2000,Apr 16,16,4,GIENJUNKO-NIKKI(DAIGO)
2000,Apr 08,8,4,GIENJUNKO-NIKKI(DAIGO)
2000,Apr 04,4,4,GIENJUNKO-NIKKI(DAIGO)
